1 1:27 2:79 3:51 4:412 5:78 6:3 
1 1:32 2:138 3:111 4:1284 5:213 6:5 
1 1:27 2:89 3:284 4:1277 5:88 6:354 
1 1:32 2:80 3:30 4:660 5:5 6:9 
1 1:27 2:19 3:21 4:108 5:9 6:1 
1 1:37 2:94 3:163 4:1072 5:168 6:25 
1 1:27 2:72 3:106 4:544 5:104 6:137 
1 1:27 2:127 3:40 4:1432 5:291 6:87 
1 1:22 2:37 3:64 4:552 5:4 6:68 
1 1:37 2:49 3:248 4:1212 5:38 6:124 
1 1:27 2:55 3:243 4:912 5:34 6:318 
1 1:22 2:48 3:70 4:892 5:89 6:195 
1 1:27 2:24 3:71 4:632 5:59 6:210 
1 1:37 2:194 3:211 4:1528 5:117 6:561 
1 1:22 2:167 3:206 4:2060 5:489 6:687 
1 1:37 2:145 3:206 4:1392 5:149 6:462 
1 1:22 2:50 3:45 4:776 5:71 6:71 
1 1:22 2:196 3:251 4:2524 5:611 6:680 
1 1:32 2:157 3:202 4:1676 5:308 6:395 
1 1:32 2:74 3:74 4:492 5:97 6:123 
0 1:22 2:12 3:27 4:184 5:8 6:13 
0 1:22 2:7 3:12 4:60 5:8 6:7 
0 1:37 2:207 3:55 4:1544 5:618 6:123 
0 1:27 2:116 3:80 4:948 5:59 6:10 
0 1:22 2:21 3:139 4:700 5:26 6:106 
0 1:32 2:17 3:325 4:1036 5:5 6:29 
0 1:27 2:15 3:53 4:352 5:2 6:97 
0 1:22 2:11 3:21 4:120 5:0 6:7 
0 1:22 2:146 3:204 4:1304 5:87 6:12 
0 1:32 2:149 3:168 4:1072 5:28 6:140 
0 1:32 2:57 3:46 4:348 5:1 6:13 
0 1:32 2:21 3:46 4:256 5:44 6:39 
0 1:22 2:61 3:37 4:680 5:134 6:72 
0 1:27 2:71 3:55 4:520 5:156 6:107 
0 1:22 2:36 3:35 4:231 5:24 6:40 
0 1:27 2:15 3:21 4:104 5:3 6:3 
0 1:27 2:45 3:72 4:755 5:109 6:224 
0 1:37 2:66 3:675 4:2136 5:22 6:291 
0 1:22 2:33 3:57 4:376 5:2 6:63 
0 1:27 2:65 3:65 4:588 5:73 6:72 
