1 1:37 2:130 3:148 4:1016 5:50 6:117 7:17 8:58 
1 1:22 2:111 3:110 4:628 5:32 6:31 7:34 8:219 
1 1:32 2:89 3:96 4:716 5:180 6:200 7:1 8:31 
1 1:22 2:159 3:16 4:608 5:22 6:23 7:16 8:26 
1 1:32 2:124 3:103 4:532 5:86 6:61 7:54 8:57 
1 1:32 2:163 3:314 4:1588 5:130 6:394 7:239 8:535 
1 1:22 2:475 3:120 4:2148 5:182 6:28 7:401 8:250 
1 1:27 2:227 3:145 4:1116 5:4 6:77 7:68 8:15 
1 1:32 2:136 3:89 4:1192 5:157 6:9 7:176 8:73 
1 1:22 2:26 3:317 4:1000 5:15 6:17 7:9 8:183 
1 1:22 2:158 3:159 4:1216 5:1 6:113 7:355 8:135 
1 1:27 2:82 3:176 4:660 5:35 6:23 7:17 8:133 
1 1:27 2:110 3:52 4:1068 5:66 6:18 7:368 8:37 
1 1:27 2:32 3:120 4:624 5:0 6:354 7:70 8:2 
1 1:22 2:23 3:21 4:141 5:4 6:8 7:0 8:13 
1 1:22 2:87 3:35 4:756 5:1 6:4 7:149 8:47 
1 1:27 2:21 3:92 4:432 5:1 6:176 7:6 8:47 
1 1:27 2:91 3:311 4:1680 5:99 6:584 7:19 8:45 
1 1:37 2:450 3:275 4:2644 5:175 6:181 7:351 8:85 
1 1:22 2:115 3:77 4:496 5:18 6:36 7:44 8:0 
1 1:32 2:57 3:105 4:560 5:43 6:50 7:2 8:32 
1 1:32 2:128 3:114 4:564 5:50 6:119 7:56 8:0 
1 1:37 2:272 3:393 4:3256 5:31 6:1050 7:943 8:247 
1 1:27 2:30 3:104 4:1800 5:46 6:346 7:30 8:297 
1 1:37 2:250 3:255 4:1432 5:115 6:58 7:208 8:64 
1 1:22 2:365 3:254 4:2628 5:259 6:434 7:464 8:571 
1 1:27 2:34 3:56 4:292 5:13 6:67 7:61 8:45 
1 1:27 2:106 3:49 4:704 5:7 6:26 7:274 8:21 
1 1:32 2:323 3:267 4:2068 5:603 6:437 7:415 8:135 
1 1:22 2:12 3:15 4:100 5:4 6:13 7:1 8:15 
0 1:37 2:11 3:12 4:96 5:0 6:5 7:8 8:2 
0 1:22 2:10 3:31 4:132 5:2 6:3 7:1 8:6 
0 1:32 2:36 3:18 4:187 5:3 6:1 7:42 8:3 
0 1:37 2:0 3:0 4:1 5:0 6:0 7:0 8:0 
0 1:32 2:26 3:223 4:1768 5:37 6:789 7:11 8:197 
0 1:22 2:21 3:39 4:244 5:10 6:59 7:6 8:0 
0 1:22 2:12 3:29 4:212 5:3 6:60 7:13 8:32 
0 1:27 2:27 3:51 4:292 5:29 6:67 7:28 8:81 
0 1:37 2:258 3:26 4:2552 5:10 6:61 7:994 8:81 
0 1:37 2:120 3:111 4:756 5:122 6:93 7:141 8:52 
0 1:22 2:22 3:15 4:88 5:4 6:1 7:36 8:2 
0 1:27 2:48 3:53 4:256 5:45 6:36 7:3 8:5 
0 1:27 2:39 3:109 4:560 5:4 6:113 7:72 8:45 
0 1:32 2:36 3:52 4:185 5:29 6:25 7:6 8:41 
0 1:22 2:32 3:19 4:139 5:1 6:17 7:33 8:1 
0 1:32 2:25 3:31 4:148 5:10 6:14 7:30 8:11 
0 1:22 2:24 3:21 4:125 5:2 6:10 7:4 8:1 
0 1:37 2:15 3:20 4:80 5:2 6:6 7:3 8:16 
0 1:27 2:10 3:11 4:87 5:0 6:8 7:8 8:19 
0 1:22 2:16 3:14 4:80 5:9 6:9 7:3 8:1 
0 1:32 2:56 3:71 4:272 5:16 6:36 7:4 8:9 
0 1:32 2:215 3:100 4:1576 5:36 6:252 7:605 8:50 
0 1:22 2:21 3:69 4:442 5:18 6:204 7:3 8:26 
0 1:27 2:30 3:896 4:2880 5:11 6:347 7:16 8:157 
0 1:27 2:58 3:114 4:546 5:81 6:14 7:46 8:185 
0 1:37 2:295 3:270 4:1516 5:129 6:169 7:457 8:284 
0 1:37 2:50 3:23 4:520 5:15 6:14 7:115 8:10 
0 1:37 2:95 3:28 4:392 5:23 6:63 7:56 8:32 
0 1:22 2:24 3:42 4:144 5:0 6:4 7:3 8:4 
0 1:27 2:29 3:94 4:292 5:11 6:117 7:2 8:6 
