1 1:27 2:218 3:313 4:2460 5:188 6:708 
1 1:27 2:162 3:147 4:1872 5:283 6:141 
1 1:32 2:72 3:92 4:552 5:86 6:6 
1 1:22 2:77 3:84 4:500 5:92 6:30 
1 1:32 2:60 3:29 4:524 5:64 6:22 
1 1:27 2:97 3:113 4:704 5:82 6:140 
1 1:22 2:42 3:23 4:304 5:20 6:1 
1 1:37 2:299 3:195 4:3128 5:846 6:57 
1 1:32 2:124 3:63 4:880 5:73 6:74 
1 1:32 2:105 3:71 4:700 5:91 6:22 
1 1:32 2:317 3:106 4:2120 5:318 6:16 
1 1:27 2:167 3:27 4:764 5:35 6:7 
1 1:32 2:202 3:82 4:1320 5:144 6:149 
1 1:27 2:231 3:275 4:1964 5:80 6:548 
1 1:27 2:166 3:126 4:1084 5:81 6:288 
1 1:27 2:90 3:111 4:852 5:43 6:144 
1 1:37 2:174 3:543 4:2804 5:10 6:137 
1 1:27 2:77 3:151 4:868 5:99 6:56 
1 1:37 2:251 3:414 4:2044 5:606 6:333 
1 1:32 2:72 3:36 4:356 5:55 6:17 
0 1:22 2:34 3:83 4:376 5:0 6:46 
0 1:32 2:17 3:46 4:196 5:4 6:4 
0 1:22 2:56 3:81 4:468 5:5 6:48 
0 1:27 2:42 3:40 4:296 5:58 6:67 
0 1:22 2:14 3:84 4:292 5:1 6:44 
0 1:22 2:10 3:7 4:68 5:4 6:11 
0 1:37 2:56 3:66 4:528 5:5 6:77 
0 1:27 2:36 3:137 4:812 5:14 6:194 
0 1:22 2:38 3:37 4:280 5:3 6:41 
0 1:22 2:18 3:18 4:96 5:3 6:3 
0 1:32 2:42 3:62 4:432 5:4 6:77 
0 1:27 2:38 3:30 4:208 5:0 6:8 
0 1:22 2:127 3:51 4:795 5:116 6:62 
0 1:22 2:73 3:89 4:988 5:193 6:243 
0 1:37 2:66 3:119 4:640 5:97 6:164 
0 1:37 2:16 3:61 4:324 5:32 6:5 
0 1:37 2:52 3:41 4:385 5:151 6:37 
0 1:27 2:24 3:30 4:204 5:54 6:6 
0 1:27 2:52 3:91 4:448 5:5 6:57 
0 1:32 2:47 3:26 4:416 5:56 6:4 
