1 1:22 2:92 3:167 4:1492 5:22 6:163 
1 1:32 2:68 3:205 4:1236 5:84 6:389 
1 1:22 2:70 3:99 4:620 5:36 6:102 
1 1:32 2:41 3:142 4:888 5:4 6:114 
1 1:27 2:88 3:82 4:588 5:22 6:2 
1 1:32 2:33 3:47 4:368 5:38 6:31 
1 1:32 2:86 3:61 4:720 5:5 6:21 
1 1:37 2:73 3:139 4:1008 5:29 6:129 
1 1:27 2:24 3:127 4:696 5:17 6:129 
1 1:27 2:89 3:60 4:1948 5:336 6:229 
1 1:37 2:86 3:92 4:704 5:25 6:1 
1 1:32 2:10 3:42 4:336 5:14 6:78 
1 1:32 2:31 3:142 4:1340 5:66 6:286 
1 1:37 2:33 3:389 4:1392 5:45 6:209 
1 1:37 2:75 3:68 4:572 5:30 6:18 
1 1:27 2:67 3:74 4:668 5:135 6:35 
1 1:27 2:35 3:54 4:556 5:91 6:132 
1 1:37 2:53 3:166 4:693 5:48 6:112 
1 1:27 2:128 3:107 4:820 5:34 6:136 
1 1:22 2:38 3:47 4:296 5:34 6:15 
1 1:37 2:135 3:85 4:2648 5:347 6:172 
1 1:27 2:32 3:26 4:201 5:49 6:45 
1 1:32 2:52 3:85 4:872 5:113 6:196 
1 1:27 2:16 3:32 4:220 5:8 6:43 
1 1:32 2:25 3:45 4:696 5:1 6:13 
1 1:22 2:13 3:16 4:140 5:12 6:6 
1 1:22 2:39 3:22 4:220 5:22 6:13 
1 1:22 2:15 3:1268 4:3440 5:2 6:152 
1 1:32 2:58 3:242 4:1812 5:98 6:780 
1 1:32 2:55 3:161 4:1068 5:121 6:451 
1 1:37 2:66 3:109 4:600 5:8 6:24 
1 1:22 2:20 3:30 4:268 5:10 6:14 
1 1:27 2:12 3:32 4:197 5:20 6:41 
1 1:22 2:102 3:111 4:976 5:137 6:22 
1 1:22 2:11 3:10 4:128 5:18 6:7 
1 1:22 2:110 3:86 4:904 5:153 6:147 
1 1:32 2:39 3:57 4:468 5:3 6:38 
1 1:22 2:20 3:370 4:1548 5:20 6:429 
1 1:27 2:21 3:72 4:340 5:8 6:74 
1 1:27 2:40 3:90 4:620 5:101 6:224 
0 1:32 2:34 3:37 4:396 5:11 6:31 
0 1:32 2:10 3:35 4:228 5:11 6:48 
0 1:22 2:10 3:76 4:592 5:3 6:89 
0 1:27 2:99 3:99 4:832 5:107 6:114 
0 1:32 2:9 3:28 4:176 5:0 6:49 
0 1:27 2:10 3:26 4:132 5:1 6:30 
0 1:32 2:22 3:69 4:287 5:2 6:53 
0 1:22 2:16 3:18 4:171 5:10 6:1 
0 1:22 2:14 3:19 4:124 5:2 6:14 
0 1:37 2:77 3:173 4:1276 5:231 6:519 
0 1:27 2:18 3:23 4:140 5:5 6:5 
0 1:27 2:17 3:471 4:1340 5:21 6:238 
0 1:37 2:12 3:123 4:488 5:6 6:23 
0 1:27 2:13 3:39 4:248 5:1 6:35 
0 1:37 2:42 3:700 4:2540 5:25 6:757 
0 1:27 2:52 3:63 4:488 5:24 6:13 
0 1:32 2:53 3:21 4:548 5:22 6:25 
0 1:32 2:29 3:12 4:276 5:4 6:4 
0 1:37 2:214 3:377 4:2536 5:18 6:926 
0 1:22 2:15 3:76 4:396 5:1 6:124 
0 1:22 2:13 3:10 4:84 5:9 6:10 
0 1:27 2:7 3:14 4:80 5:3 6:9 
0 1:27 2:88 3:99 4:756 5:44 6:76 
0 1:22 2:18 3:118 4:600 5:17 6:146 
0 1:37 2:15 3:16 4:108 5:6 6:23 
0 1:22 2:11 3:37 4:244 5:4 6:48 
0 1:22 2:9 3:151 4:560 5:3 6:73 
0 1:22 2:14 3:64 4:292 5:5 6:70 
0 1:37 2:25 3:25 4:412 5:15 6:5 
0 1:37 2:36 3:223 4:1228 5:67 6:33 
0 1:22 2:17 3:16 4:112 5:3 6:8 
0 1:32 2:16 3:26 4:212 5:0 6:33 
0 1:22 2:73 3:92 4:688 5:27 6:87 
0 1:32 2:25 3:31 4:260 5:18 6:0 
0 1:22 2:4 3:25 4:228 5:2 6:47 
0 1:32 2:19 3:240 4:1052 5:7 6:3 
0 1:22 2:40 3:33 4:316 5:30 6:16 
0 1:22 2:14 3:39 4:224 5:5 6:5 
0 1:22 2:11 3:65 4:236 5:6 6:0 
0 1:37 2:12 3:31 4:160 5:5 6:16 
